社名,問い合わせからの経過日数,接触回数,最終接触からの経過日数,資料請求,デモ版利用,セミナー参加,顧客の業種,顧客の従業員規模,商談フェーズ,提案金額,競合,導入予定時期,決裁者の関与度,企業規模（売上高）,契約成立
企業_46_LJ2FHIYQ,60,8,4,0,0,1,IT,11-50名,交渉,290000,0,3ヶ月以内,低い,1億円～10億円,1
企業_47_X7JD3M8T,14,8,17,1,1,1,小売,101-500名,初期ヒアリング,4210000,1,3ヶ月以内,普通,1億円～10億円,0
企業_48_OHJFN17B,9,4,32,1,0,1,IT,51-100名,提案,3380000,0,未定,低い,100億円以上,0
企業_49_I6QLMJ9K,90,2,78,0,1,0,金融,1-10名,交渉,2040000,1,3ヶ月以内,高い,100億円以上,0
企業_50_4KCA8YUV,53,2,34,1,0,0,金融,11-50名,初期ヒアリング,4030000,1,半年以内,低い,100億円以上,1
企業_51_SMOAYOPX,130,2,64,1,1,1,サービス,101-500名,見積もり,1580000,0,半年以内,高い,1億円～10億円,0
企業_52_OPHU0RT7,84,5,62,0,1,0,金融,1-10名,クロージング,4980000,1,未定,普通,1億円未満,0
企業_53_NZ5Z6UVZ,92,3,84,0,1,0,IT,1-10名,提案,1250000,0,未定,低い,1億円未満,1
企業_54_U078W3R6,111,7,71,1,1,1,その他,1-10名,クロージング,130000,0,1年以内,普通,10億円～100億円,1
企業_55_U98ZS5D1,172,4,70,0,1,1,小売,101-500名,クロージング,310000,0,半年以内,低い,1億円～10億円,1
企業_56_OEA0CMYZ,8,0,40,1,1,1,サービス,501名以上,提案,3360000,0,3ヶ月以内,普通,1億円未満,1
企業_57_ZJOKJLYG,175,8,49,1,1,0,IT,101-500名,初期ヒアリング,1990000,0,3ヶ月以内,普通,1億円未満,0
企業_58_0G76LNXQ,35,0,29,0,1,0,小売,51-100名,交渉,210000,1,1年以内,低い,100億円以上,0
企業_59_SSXSU4A3,81,5,37,0,1,0,IT,101-500名,交渉,4040000,0,未定,低い,10億円～100億円,0
企業_60_NLRGBTUF,164,0,34,0,0,0,サービス,11-50名,見積もり,4150000,0,未定,低い,1億円～10億円,0
企業_61_K9X5DKGZ,50,2,65,0,0,0,金融,11-50名,クロージング,4220000,0,半年以内,普通,100億円以上,0
企業_62_GSS2IZ5G,104,9,45,1,0,0,その他,51-100名,見積もり,1980000,1,3ヶ月以内,高い,1億円未満,0
企業_63_JFTKB0UV,132,4,7,0,0,1,サービス,11-50名,交渉,3260000,0,3ヶ月以内,低い,10億円～100億円,0
企業_64_PRT6IQ4D,2,9,67,0,0,1,金融,11-50名,交渉,360000,0,3ヶ月以内,高い,1億円未満,1
企業_65_7AE3LUT7,134,6,36,0,1,1,サービス,11-50名,提案,4400000,1,3ヶ月以内,普通,10億円～100億円,1
企業_66_LA6FRBG7,54,9,84,0,0,1,製造業,101-500名,見積もり,3490000,0,未定,低い,1億円～10億円,0
企業_67_YI44Q5AN,106,7,12,1,0,0,その他,11-50名,交渉,1510000,0,1年以内,普通,100億円以上,1
企業_68_LWO9F3U4,4,8,72,0,0,1,IT,501名以上,見積もり,160000,1,1年以内,普通,10億円～100億円,0
企業_69_LBWG25AY,54,5,44,0,0,1,IT,1-10名,提案,4080000,1,未定,低い,1億円～10億円,1
企業_70_0EE5J2VH,146,8,28,1,1,1,その他,101-500名,提案,4390000,1,3ヶ月以内,低い,1億円～10億円,1
企業_71_W4ANXRKU,44,7,40,0,1,1,製造業,501名以上,提案,4210000,1,半年以内,低い,1億円未満,0
企業_72_OA1N9ND5,162,8,55,1,0,0,金融,11-50名,提案,4360000,0,1年以内,普通,100億円以上,0
企業_73_SGKIZF0N,14,9,87,1,0,0,IT,11-50名,提案,190000,1,半年以内,低い,10億円～100億円,0
企業_74_CEG5F83H,95,3,15,1,0,0,製造業,11-50名,提案,1880000,1,未定,普通,100億円以上,0
企業_75_UY7T746K,48,8,11,1,0,1,IT,1-10名,提案,120000,1,3ヶ月以内,普通,1億円未満,0
企業_76_GIBEZ23D,15,6,65,0,1,1,小売,11-50名,クロージング,4690000,1,未定,低い,10億円～100億円,0
企業_77_4B1V4MY8,40,4,61,1,1,0,金融,11-50名,初期ヒアリング,4700000,0,1年以内,低い,1億円～10億円,1
企業_78_AVSKXG57,82,4,18,0,1,1,小売,51-100名,初期ヒアリング,1120000,0,3ヶ月以内,普通,1億円～10億円,1
企業_79_T275W4ZW,111,0,29,1,0,1,その他,101-500名,クロージング,3090000,0,3ヶ月以内,高い,1億円未満,0
企業_80_KZWU725R,53,1,15,1,1,0,金融,101-500名,見積もり,630000,0,1年以内,高い,100億円以上,1
企業_81_IXVX41DJ,24,9,87,0,0,1,製造業,501名以上,見積もり,1710000,0,未定,普通,100億円以上,0
企業_82_703Y9CK7,154,2,12,0,1,1,金融,1-10名,提案,4580000,0,1年以内,高い,10億円～100億円,1
企業_83_A7K93S3O,124,7,68,1,1,1,金融,11-50名,見積もり,2390000,1,未定,普通,1億円～10億円,1
企業_84_XNFWWWGG,41,5,22,0,0,1,製造業,1-10名,クロージング,3540000,0,未定,低い,10億円～100億円,1
企業_85_RPNXY9VE,157,9,61,1,1,1,その他,51-100名,クロージング,2200000,1,1年以内,高い,10億円～100億円,1
企業_86_90E0WNO0,15,4,30,0,1,1,金融,1-10名,提案,2900000,0,未定,普通,1億円未満,1
企業_87_WD1Q46F3,45,0,52,1,0,1,その他,101-500名,提案,4560000,0,1年以内,低い,10億円～100億円,0
企業_88_8W2ZDA9Q,65,8,16,0,1,1,その他,1-10名,提案,790000,1,1年以内,低い,10億円～100億円,1
企業_89_LHXF1U3Q,89,2,48,0,1,1,その他,51-100名,見積もり,3100000,0,3ヶ月以内,高い,100億円以上,0
企業_90_HOPTRTPE,71,2,48,1,0,1,IT,1-10名,交渉,770000,0,未定,高い,10億円～100億円,1
企業_91_G7CY63FZ,9,1,66,1,1,0,サービス,51-100名,初期ヒアリング,2910000,1,3ヶ月以内,高い,1億円～10億円,0
企業_92_KJF1PO9X,88,3,25,1,0,0,その他,1-10名,交渉,2910000,0,半年以内,低い,10億円～100億円,1
企業_93_LCLPXF2J,129,1,12,0,0,0,製造業,501名以上,提案,1630000,0,未定,高い,100億円以上,0
企業_94_E1OK30TZ,136,8,37,0,0,0,サービス,11-50名,クロージング,4710000,0,3ヶ月以内,高い,10億円～100億円,1
企業_95_TKRBXPWQ,63,9,21,1,0,1,その他,101-500名,見積もり,4550000,1,3ヶ月以内,普通,1億円～10億円,0
企業_96_DRUGUD3I,139,6,84,0,0,0,製造業,101-500名,提案,2330000,1,3ヶ月以内,低い,100億円以上,1
企業_97_8MGKHWEV,81,7,28,1,0,0,製造業,1-10名,見積もり,3770000,0,未定,高い,1億円～10億円,1
企業_98_SXHBZ67S,136,2,44,0,0,0,小売,1-10名,初期ヒアリング,3570000,1,未定,低い,10億円～100億円,0
企業_99_YBNJWAGJ,163,5,45,0,0,0,小売,1-10名,交渉,1980000,1,3ヶ月以内,普通,10億円～100億円,0
企業_100_M3P03C30,163,9,38,0,0,0,金融,51-100名,提案,3950000,1,3ヶ月以内,高い,100億円以上,1
企業_101_Z117J519,33,5,68,1,0,1,その他,1-10名,交渉,500000,0,未定,低い,1億円～10億円,1
企業_102_WK59U5FY,123,0,77,0,0,0,その他,501名以上,提案,1820000,1,未定,普通,1億円～10億円,1
企業_103_VKN7D1H4,5,5,81,0,0,1,サービス,1-10名,初期ヒアリング,4780000,0,半年以内,低い,10億円～100億円,1
企業_104_35UK6KJE,41,2,67,0,0,1,製造業,1-10名,初期ヒアリング,2470000,1,未定,低い,10億円～100億円,0
企業_105_4IWUY69K,28,2,38,0,1,1,その他,11-50名,クロージング,2790000,0,1年以内,低い,10億円～100億円,1
企業_106_P86V60AK,135,2,19,1,0,1,金融,501名以上,初期ヒアリング,1740000,0,1年以内,高い,10億円～100億円,0
企業_107_43MU2KPX,72,9,76,0,0,0,IT,1-10名,見積もり,1390000,1,半年以内,低い,1億円未満,1
企業_108_NK5HTGYC,12,9,67,0,0,1,製造業,101-500名,交渉,140000,1,半年以内,普通,10億円～100億円,1
企業_109_99ZUFDD5,162,7,34,0,1,1,IT,501名以上,交渉,3670000,0,3ヶ月以内,普通,1億円～10億円,1
企業_110_S0KF98P6,33,4,7,0,0,1,金融,501名以上,見積もり,1390000,0,未定,高い,1億円未満,1
企業_111_N6NIW5A7,48,3,51,1,1,0,小売,51-100名,初期ヒアリング,3940000,1,3ヶ月以内,低い,1億円未満,1
企業_112_KYGL4BM3,151,8,39,0,0,1,金融,101-500名,提案,1850000,1,3ヶ月以内,普通,1億円未満,0
企業_113_AXW41ZU4,62,8,35,0,1,0,IT,101-500名,初期ヒアリング,310000,0,3ヶ月以内,高い,1億円未満,1
企業_114_JO0PHW9Y,37,0,5,0,1,0,製造業,51-100名,交渉,500000,1,未定,普通,10億円～100億円,1
企業_115_HYW3NRQZ,99,1,85,0,1,1,サービス,501名以上,見積もり,1620000,1,3ヶ月以内,低い,100億円以上,1
企業_116_XE3P3OOL,172,7,69,1,1,1,その他,101-500名,提案,550000,1,未定,普通,1億円未満,1
企業_117_QLOIMSEE,104,4,72,0,1,1,金融,51-100名,クロージング,3590000,0,3ヶ月以内,普通,1億円未満,1
企業_118_CUOUVW8K,35,6,15,0,0,1,製造業,51-100名,見積もり,180000,0,3ヶ月以内,高い,100億円以上,0
企業_119_VOFLHVG6,101,0,45,1,0,0,その他,51-100名,初期ヒアリング,4540000,0,1年以内,高い,100億円以上,1
企業_120_DOZHR1PW,175,9,58,0,0,1,小売,51-100名,クロージング,1100000,0,3ヶ月以内,低い,10億円～100億円,1
企業_121_C0II0CBQ,131,4,37,1,1,0,小売,11-50名,見積もり,560000,1,半年以内,低い,10億円～100億円,1
企業_122_TPNYNK9B,1,2,17,0,1,0,その他,51-100名,提案,3390000,1,3ヶ月以内,低い,10億円～100億円,1
企業_123_LTY9P0XN,5,9,11,0,1,0,小売,101-500名,初期ヒアリング,2160000,0,1年以内,普通,1億円～10億円,1
企業_124_LZT6BYD4,142,1,53,0,1,0,製造業,101-500名,初期ヒアリング,2500000,0,1年以内,普通,1億円未満,1
企業_125_NT4N8YNQ,103,1,46,0,0,1,金融,501名以上,提案,120000,0,1年以内,高い,10億円～100億円,1
企業_126_OP4HN5X5,27,8,0,0,1,0,製造業,1-10名,交渉,2730000,1,3ヶ月以内,高い,100億円以上,1
企業_127_E2OFDWWD,137,3,14,0,0,0,製造業,51-100名,提案,4180000,0,1年以内,低い,100億円以上,0
企業_128_IN89PIVN,15,3,79,0,1,1,その他,51-100名,交渉,450000,1,1年以内,普通,100億円以上,1
企業_129_Y476RRF2,90,6,20,0,1,1,サービス,1-10名,初期ヒアリング,3080000,0,未定,高い,1億円～10億円,0
企業_130_HNQCJZOY,42,9,0,0,1,1,サービス,1-10名,クロージング,2520000,1,未定,高い,100億円以上,1
企業_131_08WPBFO8,124,9,66,0,1,1,金融,101-500名,見積もり,2470000,1,1年以内,高い,1億円～10億円,1
企業_132_X83J6Z3M,179,1,11,0,1,0,その他,101-500名,交渉,4430000,1,半年以内,普通,1億円～10億円,0
企業_133_QJJ9QJZG,63,2,27,0,0,0,サービス,11-50名,提案,3280000,0,半年以内,普通,1億円～10億円,0
企業_134_D2WAV77R,96,2,38,1,1,0,小売,1-10名,クロージング,4780000,0,半年以内,低い,10億円～100億円,0
企業_135_38IS1RAW,52,5,36,0,0,0,サービス,501名以上,交渉,4270000,0,1年以内,高い,1億円～10億円,1
企業_136_0M18AGI9,96,2,59,1,0,0,小売,1-10名,見積もり,2280000,0,未定,普通,1億円未満,1
企業_137_YTLVHYCU,132,4,30,1,1,0,金融,501名以上,交渉,2100000,0,1年以内,高い,1億円未満,1
企業_138_YLW8N0DB,151,3,57,0,1,1,製造業,51-100名,初期ヒアリング,4030000,1,1年以内,低い,1億円～10億円,0
企業_139_G73V5THY,143,2,10,1,1,1,製造業,11-50名,見積もり,360000,1,半年以内,低い,10億円～100億円,1
企業_140_17BKJ7CO,171,7,28,0,1,0,サービス,51-100名,見積もり,980000,0,半年以内,高い,10億円～100億円,1
企業_141_XYHAHKMU,29,9,88,0,1,0,小売,101-500名,交渉,2780000,0,3ヶ月以内,低い,1億円～10億円,1
企業_142_PW14A22S,36,2,12,1,1,0,IT,501名以上,初期ヒアリング,3160000,1,未定,高い,10億円～100億円,0
企業_143_7LX69YSZ,13,5,50,1,0,0,IT,101-500名,見積もり,3330000,1,3ヶ月以内,普通,1億円～10億円,1
企業_144_MZJZBKVS,160,6,53,1,0,0,IT,501名以上,見積もり,1330000,0,半年以内,低い,10億円～100億円,1
企業_145_CHV1QYMK,71,6,18,0,1,1,製造業,101-500名,見積もり,4090000,0,半年以内,低い,100億円以上,0
企業_146_5JJ2T02A,86,1,57,1,1,1,その他,11-50名,クロージング,4050000,0,1年以内,高い,1億円～10億円,1
企業_147_4P3X8VVE,28,2,35,1,0,1,製造業,1-10名,初期ヒアリング,2900000,0,半年以内,低い,100億円以上,1
企業_148_CJMYXGK0,66,9,27,1,0,0,その他,51-100名,提案,2640000,1,3ヶ月以内,普通,100億円以上,1
企業_149_OIHME6O3,170,9,67,0,0,0,小売,1-10名,初期ヒアリング,4420000,0,3ヶ月以内,低い,1億円～10億円,0
企業_150_WP59I1H5,45,3,2,0,1,1,サービス,51-100名,見積もり,4090000,1,1年以内,普通,1億円未満,0
企業_151_4OWO1MB0,62,6,88,1,0,0,IT,1-10名,初期ヒアリング,3680000,0,半年以内,普通,1億円～10億円,0
企業_152_62LBZJE4,134,1,40,1,1,0,小売,51-100名,交渉,110000,1,未定,低い,10億円～100億円,1
企業_153_FG0OEI3I,28,2,34,1,1,0,小売,101-500名,見積もり,3380000,0,未定,普通,1億円～10億円,1
企業_154_8D2A9RW3,28,6,75,1,0,0,サービス,11-50名,初期ヒアリング,1320000,0,1年以内,低い,10億円～100億円,0
企業_155_HTASTQEY,108,6,83,1,0,1,小売,501名以上,初期ヒアリング,2450000,1,半年以内,普通,10億円～100億円,1
企業_156_SB9NLY5I,44,9,80,1,0,0,サービス,101-500名,クロージング,3920000,1,未定,低い,100億円以上,0
企業_157_E4QXZRA8,84,2,75,1,1,1,金融,101-500名,見積もり,860000,1,3ヶ月以内,低い,1億円未満,1
企業_158_UBUQJXL3,30,0,49,0,1,0,サービス,501名以上,見積もり,870000,1,未定,普通,1億円未満,0
企業_159_1J877OY7,75,2,73,1,0,1,IT,1-10名,交渉,3410000,0,未定,低い,1億円～10億円,0
企業_160_NX4HOO8A,128,4,81,1,1,1,その他,51-100名,見積もり,1720000,1,半年以内,低い,1億円未満,1
企業_161_ZCIFCGIO,92,6,29,0,0,0,その他,101-500名,初期ヒアリング,1590000,0,3ヶ月以内,普通,1億円未満,1
企業_162_FSP9BDVB,129,3,71,1,1,1,IT,101-500名,クロージング,4780000,0,未定,低い,1億円未満,0
企業_163_MH08BFZM,121,0,76,0,0,1,その他,1-10名,初期ヒアリング,570000,0,半年以内,高い,100億円以上,1
企業_164_SAE6T36W,27,5,69,1,1,1,サービス,101-500名,クロージング,1230000,0,1年以内,普通,10億円～100億円,0
企業_165_XSUIF352,121,1,53,0,0,1,金融,51-100名,交渉,730000,0,未定,高い,1億円未満,0
企業_166_WRMQG2YJ,116,2,70,1,1,1,その他,501名以上,クロージング,4600000,0,半年以内,低い,100億円以上,1
企業_167_N7R7OEH9,3,3,84,1,1,0,金融,11-50名,提案,1590000,1,1年以内,低い,1億円～10億円,1
企業_168_0HA682KP,103,5,50,0,1,1,IT,11-50名,クロージング,820000,0,未定,高い,1億円～10億円,0
企業_169_8IXASGYB,155,5,27,0,0,0,金融,501名以上,見積もり,560000,0,半年以内,普通,10億円～100億円,0
企業_170_J0MMFIWT,137,6,63,0,1,1,小売,501名以上,交渉,3050000,1,半年以内,高い,1億円～10億円,1
企業_171_RJDUITMK,62,4,84,1,1,1,製造業,501名以上,クロージング,3710000,0,1年以内,低い,100億円以上,0
企業_172_24V00VI5,165,6,20,1,0,0,小売,1-10名,交渉,1900000,1,未定,高い,1億円～10億円,1
企業_173_S336BZNZ,51,1,87,1,0,1,IT,11-50名,見積もり,3830000,0,1年以内,低い,10億円～100億円,0
企業_174_HUX0TMN1,172,0,26,1,1,1,その他,101-500名,提案,2680000,0,半年以内,普通,1億円～10億円,1
企業_175_8285ZGBS,152,9,26,1,1,1,その他,1-10名,初期ヒアリング,1040000,1,半年以内,普通,1億円未満,1
企業_176_VO9K3SW6,59,7,76,0,0,0,金融,51-100名,交渉,1100000,1,未定,高い,10億円～100億円,0
企業_177_KH12S96N,118,0,49,1,1,0,サービス,501名以上,初期ヒアリング,3990000,0,未定,普通,1億円未満,0
企業_178_7OJ2W7YR,160,1,28,0,1,1,製造業,101-500名,提案,4070000,1,未定,低い,10億円～100億円,1
企業_179_B218X2TM,96,9,38,0,0,0,サービス,11-50名,初期ヒアリング,920000,0,3ヶ月以内,普通,100億円以上,1
企業_180_YZJ2VNGJ,113,5,56,1,0,1,IT,101-500名,見積もり,4510000,1,1年以内,普通,10億円～100億円,1
企業_181_DTUJUDSH,62,0,36,1,0,0,その他,1-10名,提案,910000,1,3ヶ月以内,低い,10億円～100億円,1
企業_182_1BSR1OVJ,52,9,63,0,1,0,金融,101-500名,交渉,1300000,0,半年以内,普通,1億円～10億円,1
企業_183_NTKCLRJX,12,2,47,1,1,0,その他,501名以上,提案,4000000,1,1年以内,普通,100億円以上,1
企業_184_6Y181ZBO,39,6,21,0,0,1,サービス,11-50名,初期ヒアリング,4930000,0,半年以内,高い,100億円以上,1
企業_185_GE64P7B7,130,7,29,1,0,0,サービス,11-50名,初期ヒアリング,4220000,0,3ヶ月以内,高い,1億円未満,1
企業_186_M1Y7TO4M,131,3,27,0,1,1,製造業,11-50名,クロージング,120000,1,未定,低い,100億円以上,1
企業_187_TPQH4B75,113,2,22,1,0,0,製造業,11-50名,交渉,220000,1,未定,低い,1億円未満,0
企業_188_EYFLPMJW,101,0,3,1,1,1,金融,1-10名,初期ヒアリング,1730000,0,未定,高い,1億円～10億円,0
企業_189_84KJZTMV,113,8,2,1,0,1,製造業,1-10名,提案,1140000,1,3ヶ月以内,普通,10億円～100億円,0
企業_190_OHF07273,81,9,60,0,0,0,サービス,101-500名,初期ヒアリング,3540000,0,未定,高い,1億円～10億円,0
企業_191_VCFHDNP9,113,5,3,1,1,0,サービス,1-10名,提案,3570000,1,3ヶ月以内,普通,10億円～100億円,1
企業_192_HYSJZI72,2,5,64,0,1,1,IT,11-50名,見積もり,1750000,1,1年以内,高い,1億円未満,0
企業_193_GJZ1780Z,130,8,11,1,0,1,サービス,51-100名,初期ヒアリング,840000,1,1年以内,高い,1億円未満,1
企業_194_DEU7W097,54,0,12,1,1,0,金融,101-500名,提案,690000,1,3ヶ月以内,普通,10億円～100億円,1
企業_195_SCJ6PQEH,87,5,33,0,1,0,小売,51-100名,クロージング,2420000,1,未定,普通,10億円～100億円,1
企業_196_YWHB2F0Q,129,4,58,0,0,1,IT,11-50名,提案,3910000,0,半年以内,普通,1億円～10億円,0
企業_197_15ESUUUY,147,5,72,0,1,1,IT,51-100名,交渉,820000,0,1年以内,高い,10億円～100億円,0
企業_198_K1ZJ4PZB,126,7,30,1,1,1,金融,101-500名,クロージング,2870000,1,未定,低い,100億円以上,1
企業_199_S6LT00QW,130,4,70,1,1,1,金融,1-10名,交渉,1580000,0,半年以内,普通,1億円～10億円,1
企業_200_HXC7121T,53,1,12,1,1,0,製造業,11-50名,交渉,1320000,0,3ヶ月以内,低い,100億円以上,1
企業_201_FAVNJWSN,172,1,53,1,0,0,IT,501名以上,クロージング,4760000,0,3ヶ月以内,高い,1億円～10億円,1
企業_202_QMQISOSL,160,9,1,1,0,0,製造業,101-500名,クロージング,2980000,0,未定,高い,100億円以上,1
企業_203_MX13Y399,160,4,32,1,0,0,サービス,1-10名,交渉,130000,0,半年以内,普通,10億円～100億円,1
企業_204_H5RGGOKB,68,2,49,1,0,0,IT,51-100名,交渉,4900000,1,1年以内,低い,1億円～10億円,0
企業_205_DWLU81FS,123,9,6,0,0,0,IT,11-50名,初期ヒアリング,2460000,1,3ヶ月以内,普通,1億円～10億円,0
企業_206_FQMUUEL9,145,2,17,1,1,1,その他,501名以上,クロージング,2170000,1,未定,普通,1億円未満,1
企業_207_S3JJT1UP,38,7,50,0,1,0,小売,501名以上,クロージング,1810000,0,半年以内,高い,100億円以上,1
企業_208_3A8F5QBU,24,6,7,1,1,1,IT,1-10名,交渉,3940000,0,1年以内,低い,1億円未満,1
企業_209_N9P1F9W2,69,0,54,0,0,0,サービス,51-100名,提案,4550000,1,1年以内,高い,1億円～10億円,1
企業_210_5MFKQ248,116,4,75,0,0,0,製造業,101-500名,初期ヒアリング,2160000,1,未定,低い,1億円未満,0
企業_211_07P7J757,98,8,42,0,0,1,製造業,101-500名,提案,1590000,0,1年以内,高い,1億円～10億円,0
企業_212_PR7PBB3U,139,3,58,1,1,0,その他,501名以上,交渉,2330000,0,未定,普通,100億円以上,1
企業_213_68NZN1M6,144,0,29,0,1,1,小売,101-500名,交渉,680000,0,半年以内,高い,100億円以上,0
企業_214_58EMZUYQ,97,7,58,0,1,1,サービス,11-50名,交渉,3020000,0,未定,高い,10億円～100億円,1
企業_215_9R14Y8M7,124,4,8,0,0,1,製造業,11-50名,提案,1600000,0,3ヶ月以内,高い,1億円～10億円,1
企業_216_XWYZR3CU,70,1,67,0,0,0,金融,51-100名,初期ヒアリング,1700000,0,3ヶ月以内,普通,100億円以上,0
企業_217_26SDT2T6,93,0,38,1,1,1,サービス,1-10名,クロージング,1220000,1,1年以内,普通,100億円以上,1
企業_218_FVQJSQUR,3,2,80,1,1,1,サービス,51-100名,提案,2410000,1,1年以内,低い,10億円～100億円,0
企業_219_MO3GD83J,148,8,10,1,1,1,小売,1-10名,提案,4150000,1,1年以内,低い,1億円未満,0
企業_220_R221BX6S,164,0,1,1,0,1,製造業,1-10名,交渉,4570000,1,未定,高い,10億円～100億円,0
